Sigla OACI;DescriÁ„o;Cidade;UF;PaÌs;Continente
HECA;CAIRO INTERNATIONAL AIRPORT;CAIRO;;EGITO;AFRICA
HKJK;JOMO KENYATTA INTERNATIONAL AIRPORT (FORMERLY NAIROBI INTERNATIONAL AIRPORT);NAIR”BI;;QUENIA;AFRICA
KADW;ANDREWS AIR FORCE BASE;CAMP SPRINGS/ANDREWS AFB,MD;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KATL;HARTSFIELD JACKSON ATLANTA INTERNATIONAL AIRPORT;ATLANTA/INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KAUS;AUSTIN BERGSTROM INTERNATIONAL AIRPORT;AUSTIN;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KBFI;BOEING FIELD/KING COUNTY INTERNATIONAL AIRPORT;SEATTLE BOEING F.INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KBGR;BANGOR INTERNATIONAL AIRPORT;BANGOR, MAINE;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KBHM;BIRMINGHAM-SHUTTLESWORTH INTERNATIONAL AIRPORT;;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KBKV;HERNANDO COUNTY AIRPORT;;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KBNA;NASHVILLE INTERNATIONAL AIRPORT;NASHVILLE, TENNESSEE;NI;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KBOS;LOGAN INTERNATIONAL AIRPORT;BOSTON;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KBWI;BALTIMORE-WASHINGTON INTERNATIONAL THURGOOD MARSHALL AIRPORT;;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KCHS;CHARLESTON INTERNATIONAL AIRPORT (CHARLESTON AIR FORCE BASE);CHARLESTON;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KCLE;CLEVELAND HOPKINS INTERNATIONAL AIRPORT;;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KCLT;CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT;CHARLOTTE DOUGLAS INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KDAL;DALLAS LOVE FIELD;DALLAS;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KDEN;DENVER INTERNATIONAL AIRPORT (STAPLETON INT¬¥L);;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KDFW;DALLAS-FORT WORTH INTERNATIONAL AIRPORT;DALLAS/FORT WORTH;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KDHN;DOTHAN REGIONAL AIRPORT;DOTHAN;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
